Step,arc_challenge,arc_easy,hendrycksTest-abstract_algebra,hendrycksTest-anatomy,hendrycksTest-astronomy,hendrycksTest-business_ethics,hendrycksTest-clinical_knowledge,hendrycksTest-college_biology,hendrycksTest-college_chemistry,hendrycksTest-college_computer_science,hendrycksTest-college_mathematics,hendrycksTest-college_medicine,hendrycksTest-college_physics,hendrycksTest-computer_security,hendrycksTest-conceptual_physics,hendrycksTest-econometrics,hendrycksTest-electrical_engineering,hendrycksTest-elementary_mathematics,hendrycksTest-formal_logic,hendrycksTest-global_facts,hendrycksTest-high_school_biology,hendrycksTest-high_school_chemistry,hendrycksTest-high_school_computer_science,hendrycksTest-high_school_european_history,hendrycksTest-high_school_geography,hendrycksTest-high_school_government_and_politics,hendrycksTest-high_school_macroeconomics,hendrycksTest-high_school_mathematics,hendrycksTest-high_school_microeconomics,hendrycksTest-high_school_physics,hendrycksTest-high_school_psychology,hendrycksTest-high_school_statistics,hendrycksTest-high_school_us_history,hendrycksTest-high_school_world_history,hendrycksTest-human_aging,hendrycksTest-human_sexuality,hendrycksTest-international_law,hendrycksTest-jurisprudence,hendrycksTest-logical_fallacies,hendrycksTest-machine_learning,hendrycksTest-management,hendrycksTest-marketing,hendrycksTest-medical_genetics,hendrycksTest-miscellaneous,hendrycksTest-moral_disputes,hendrycksTest-moral_scenarios,hendrycksTest-nutrition,hendrycksTest-philosophy,hendrycksTest-prehistory,hendrycksTest-professional_accounting,hendrycksTest-professional_law,hendrycksTest-professional_medicine,hendrycksTest-professional_psychology,hendrycksTest-public_relations,hendrycksTest-security_studies,hendrycksTest-sociology,hendrycksTest-us_foreign_policy,hendrycksTest-virology,hendrycksTest-world_religions,lambada_openai,logiqa,piqa,sciq,winogrande
0,0.23122866894197952,0.25757575757575757,0.22,0.2074074074074074,0.18421052631578946,0.25,0.19622641509433963,0.25,0.2,0.28,0.18,0.23699421965317918,0.19607843137254902,0.22,0.20425531914893616,0.23684210526315788,0.2620689655172414,0.21693121693121692,0.25396825396825395,0.27,0.2129032258064516,0.2315270935960591,0.2,0.15151515151515152,0.22727272727272727,0.18652849740932642,0.2230769230769231,0.23703703703703705,0.21008403361344538,0.2119205298013245,0.24587155963302754,0.2361111111111111,0.17647058823529413,0.13924050632911392,0.2825112107623318,0.2366412213740458,0.1322314049586777,0.16666666666666666,0.19631901840490798,0.26785714285714285,0.22330097087378642,0.25213675213675213,0.22,0.22349936143039592,0.18497109826589594,0.23798882681564246,0.20261437908496732,0.2282958199356913,0.24691358024691357,0.26595744680851063,0.23598435462842243,0.2647058823529412,0.2238562091503268,0.3,0.31020408163265306,0.2835820895522388,0.2,0.1686746987951807,0.16374269005847952,0.0,0.2304147465437788,0.5223068552774756,0.233,0.48382004735595896
1,0.23122866894197952,0.25757575757575757,0.22,0.2074074074074074,0.18421052631578946,0.25,0.19622641509433963,0.25,0.2,0.28,0.18,0.23699421965317918,0.19607843137254902,0.22,0.20425531914893616,0.23684210526315788,0.2620689655172414,0.21693121693121692,0.25396825396825395,0.27,0.2129032258064516,0.2315270935960591,0.2,0.15151515151515152,0.22727272727272727,0.18652849740932642,0.2230769230769231,0.23703703703703705,0.21008403361344538,0.2119205298013245,0.24587155963302754,0.2361111111111111,0.17647058823529413,0.13924050632911392,0.2825112107623318,0.2366412213740458,0.1322314049586777,0.16666666666666666,0.19631901840490798,0.26785714285714285,0.22330097087378642,0.25213675213675213,0.22,0.22349936143039592,0.18497109826589594,0.23798882681564246,0.20261437908496732,0.2282958199356913,0.24691358024691357,0.26595744680851063,0.23598435462842243,0.2647058823529412,0.2238562091503268,0.3,0.31020408163265306,0.2835820895522388,0.2,0.1686746987951807,0.16374269005847952,0.0,0.2304147465437788,0.5223068552774756,0.233,0.48382004735595896
2,0.23208191126279865,0.25757575757575757,0.22,0.2074074074074074,0.18421052631578946,0.25,0.19245283018867926,0.2569444444444444,0.22,0.28,0.18,0.23699421965317918,0.21568627450980393,0.22,0.20425531914893616,0.23684210526315788,0.2620689655172414,0.2222222222222222,0.25396825396825395,0.27,0.2129032258064516,0.22660098522167488,0.2,0.15151515151515152,0.23232323232323232,0.18652849740932642,0.22564102564102564,0.23703703703703705,0.21428571428571427,0.2119205298013245,0.24587155963302754,0.23148148148148148,0.17647058823529413,0.13924050632911392,0.2825112107623318,0.22900763358778625,0.12396694214876033,0.16666666666666666,0.19631901840490798,0.25,0.22330097087378642,0.24786324786324787,0.22,0.22349936143039592,0.18497109826589594,0.23798882681564246,0.20261437908496732,0.2282958199356913,0.25,0.26595744680851063,0.23598435462842243,0.2647058823529412,0.22549019607843138,0.2909090909090909,0.31020408163265306,0.2835820895522388,0.2,0.1686746987951807,0.15204678362573099,0.0,0.22887864823348694,0.5261153427638737,0.233,0.4846093133385951
4,0.22610921501706485,0.25673400673400676,0.23,0.2074074074074074,0.17763157894736842,0.25,0.19622641509433963,0.2569444444444444,0.21,0.22,0.17,0.23699421965317918,0.23529411764705882,0.2,0.2127659574468085,0.23684210526315788,0.25517241379310346,0.22486772486772486,0.2619047619047619,0.3,0.2129032258064516,0.22660098522167488,0.19,0.14545454545454545,0.24242424242424243,0.18652849740932642,0.2128205128205128,0.23703703703703705,0.20168067226890757,0.23841059602649006,0.25871559633027524,0.24537037037037038,0.19117647058823528,0.14345991561181434,0.2914798206278027,0.21374045801526717,0.11570247933884298,0.1574074074074074,0.1901840490797546,0.22321428571428573,0.23300970873786409,0.23931623931623933,0.25,0.23243933588761176,0.1936416184971098,0.23798882681564246,0.19607843137254902,0.2282958199356913,0.25308641975308643,0.2695035460992908,0.2379400260756193,0.25735294117647056,0.23529411764705882,0.3090909090909091,0.31020408163265306,0.2835820895522388,0.2,0.1746987951807229,0.15789473684210525,0.0,0.23195084485407066,0.5212187159956474,0.22,0.4846093133385951
8,0.21843003412969283,0.26136363636363635,0.19,0.2222222222222222,0.17763157894736842,0.27,0.18490566037735848,0.2361111111111111,0.22,0.21,0.2,0.2254335260115607,0.19607843137254902,0.19,0.23404255319148937,0.24561403508771928,0.2482758620689655,0.2222222222222222,0.30952380952380953,0.25,0.2032258064516129,0.21674876847290642,0.19,0.16363636363636364,0.21212121212121213,0.17098445595854922,0.2358974358974359,0.2,0.19327731092436976,0.23841059602649006,0.25871559633027524,0.26851851851851855,0.19117647058823528,0.15611814345991562,0.26905829596412556,0.22900763358778625,0.09090909090909091,0.16666666666666666,0.17791411042944785,0.2767857142857143,0.24271844660194175,0.2264957264957265,0.26,0.24648786717752236,0.20809248554913296,0.23798882681564246,0.1830065359477124,0.2508038585209003,0.2623456790123457,0.2553191489361702,0.23468057366362452,0.25,0.23366013071895425,0.2818181818181818,0.31020408163265306,0.29850746268656714,0.2,0.1746987951807229,0.15789473684210525,0.0,0.2227342549923195,0.5261153427638737,0.225,0.4940805051302289
16,0.21416382252559726,0.25715488215488214,0.17,0.24444444444444444,0.18421052631578946,0.27,0.19622641509433963,0.2638888888888889,0.23,0.24,0.18,0.24277456647398843,0.21568627450980393,0.2,0.22127659574468084,0.2719298245614035,0.21379310344827587,0.21693121693121692,0.30158730158730157,0.26,0.1870967741935484,0.2019704433497537,0.26,0.18787878787878787,0.2474747474747475,0.18134715025906736,0.2358974358974359,0.1962962962962963,0.20588235294117646,0.24503311258278146,0.24954128440366974,0.26851851851851855,0.20098039215686275,0.1729957805907173,0.27802690582959644,0.25190839694656486,0.09090909090909091,0.1388888888888889,0.17791411042944785,0.2767857142857143,0.21359223300970873,0.21794871794871795,0.24,0.24393358876117496,0.21965317919075145,0.23798882681564246,0.19607843137254902,0.24758842443729903,0.25617283950617287,0.26595744680851063,0.2301173402868318,0.22794117647058823,0.22058823529411764,0.3090909090909091,0.3183673469387755,0.2935323383084577,0.23,0.18674698795180722,0.19298245614035087,0.0,0.21351766513056836,0.5533188248095756,0.208,0.500394632991318
32,0.20819112627986347,0.2601010101010101,0.21,0.2518518518518518,0.19736842105263158,0.23,0.17735849056603772,0.24305555555555555,0.23,0.23,0.2,0.24277456647398843,0.16666666666666666,0.26,0.22127659574468084,0.24561403508771928,0.19310344827586207,0.20899470899470898,0.2857142857142857,0.31,0.2064516129032258,0.22660098522167488,0.22,0.17575757575757575,0.20202020202020202,0.18134715025906736,0.22564102564102564,0.15185185185185185,0.20168067226890757,0.23178807947019867,0.24954128440366974,0.2824074074074074,0.19607843137254902,0.16455696202531644,0.273542600896861,0.2900763358778626,0.08264462809917356,0.12037037037037036,0.15950920245398773,0.30357142857142855,0.20388349514563106,0.23076923076923078,0.3,0.2260536398467433,0.21676300578034682,0.23798882681564246,0.20261437908496732,0.26688102893890675,0.2623456790123457,0.2695035460992908,0.23076923076923078,0.2610294117647059,0.21568627450980393,0.3090909090909091,0.3183673469387755,0.2885572139303483,0.22,0.16265060240963855,0.1871345029239766,0.0,0.21505376344086022,0.5359085963003264,0.193,0.4956590370955012
64,0.21160409556313994,0.2702020202020202,0.22,0.24444444444444444,0.21052631578947367,0.31,0.17735849056603772,0.2361111111111111,0.2,0.22,0.15,0.2138728323699422,0.11764705882352941,0.23,0.2297872340425532,0.23684210526315788,0.19310344827586207,0.21428571428571427,0.30952380952380953,0.27,0.1967741935483871,0.21182266009852216,0.21,0.18181818181818182,0.23232323232323232,0.18134715025906736,0.21794871794871795,0.14074074074074075,0.18067226890756302,0.25165562913907286,0.23853211009174313,0.24074074074074073,0.20588235294117646,0.189873417721519,0.3094170403587444,0.2824427480916031,0.10743801652892562,0.1388888888888889,0.18404907975460122,0.1875,0.24271844660194175,0.24358974358974358,0.29,0.24010217113665389,0.23410404624277456,0.23798882681564246,0.19607843137254902,0.2508038585209003,0.25925925925925924,0.2695035460992908,0.23468057366362452,0.2647058823529412,0.22875816993464052,0.2818181818181818,0.32653061224489793,0.26865671641791045,0.24,0.1566265060240964,0.1871345029239766,0.0,0.2012288786482335,0.5369967355821545,0.19,0.505130228887135
128,0.19283276450511946,0.27441077441077444,0.18,0.2,0.17763157894736842,0.32,0.1660377358490566,0.2152777777777778,0.2,0.22,0.13,0.23699421965317918,0.14705882352941177,0.24,0.28085106382978725,0.22807017543859648,0.2413793103448276,0.24338624338624337,0.30952380952380953,0.25,0.2032258064516129,0.22167487684729065,0.2,0.19393939393939394,0.20707070707070707,0.21761658031088082,0.19230769230769232,0.14444444444444443,0.19747899159663865,0.2185430463576159,0.23669724770642203,0.24074074074074073,0.19117647058823528,0.19831223628691982,0.3094170403587444,0.32061068702290074,0.09090909090909091,0.16666666666666666,0.19631901840490798,0.29464285714285715,0.24271844660194175,0.24358974358974358,0.26,0.24265644955300128,0.21676300578034682,0.23798882681564246,0.1830065359477124,0.2508038585209003,0.24382716049382716,0.2553191489361702,0.23402868318122555,0.2536764705882353,0.25326797385620914,0.32727272727272727,0.32653061224489793,0.2835820895522388,0.25,0.19879518072289157,0.17543859649122806,0.0,0.19508448540706605,0.5244831338411317,0.196,0.494869771112865
256,0.2022184300341297,0.2727272727272727,0.18,0.2074074074074074,0.17763157894736842,0.31,0.1811320754716981,0.2013888888888889,0.23,0.26,0.17,0.23121387283236994,0.20588235294117646,0.26,0.2680851063829787,0.24561403508771928,0.2206896551724138,0.24338624338624337,0.2857142857142857,0.23,0.2161290322580645,0.22167487684729065,0.2,0.16363636363636364,0.21717171717171718,0.20725388601036268,0.21025641025641026,0.1259259259259259,0.18907563025210083,0.2119205298013245,0.24403669724770644,0.21296296296296297,0.20098039215686275,0.18565400843881857,0.32286995515695066,0.3053435114503817,0.09090909090909091,0.14814814814814814,0.19631901840490798,0.29464285714285715,0.27184466019417475,0.23931623931623933,0.3,0.2541507024265645,0.22832369942196531,0.23798882681564246,0.17320261437908496,0.24758842443729903,0.27469135802469136,0.28368794326241137,0.2438070404172099,0.24632352941176472,0.2434640522875817,0.2818181818181818,0.32653061224489793,0.25870646766169153,0.25,0.21686746987951808,0.2046783625730994,0.0,0.20583717357910905,0.5212187159956474,0.204,0.5027624309392266
