Step,arc_challenge,arc_easy,hendrycksTest-abstract_algebra,hendrycksTest-anatomy,hendrycksTest-astronomy,hendrycksTest-business_ethics,hendrycksTest-clinical_knowledge,hendrycksTest-college_biology,hendrycksTest-college_chemistry,hendrycksTest-college_computer_science,hendrycksTest-college_mathematics,hendrycksTest-college_medicine,hendrycksTest-college_physics,hendrycksTest-computer_security,hendrycksTest-conceptual_physics,hendrycksTest-econometrics,hendrycksTest-electrical_engineering,hendrycksTest-elementary_mathematics,hendrycksTest-formal_logic,hendrycksTest-global_facts,hendrycksTest-high_school_biology,hendrycksTest-high_school_chemistry,hendrycksTest-high_school_computer_science,hendrycksTest-high_school_european_history,hendrycksTest-high_school_geography,hendrycksTest-high_school_government_and_politics,hendrycksTest-high_school_macroeconomics,hendrycksTest-high_school_mathematics,hendrycksTest-high_school_microeconomics,hendrycksTest-high_school_physics,hendrycksTest-high_school_psychology,hendrycksTest-high_school_statistics,hendrycksTest-high_school_us_history,hendrycksTest-high_school_world_history,hendrycksTest-human_aging,hendrycksTest-human_sexuality,hendrycksTest-international_law,hendrycksTest-jurisprudence,hendrycksTest-logical_fallacies,hendrycksTest-machine_learning,hendrycksTest-management,hendrycksTest-marketing,hendrycksTest-medical_genetics,hendrycksTest-miscellaneous,hendrycksTest-moral_disputes,hendrycksTest-moral_scenarios,hendrycksTest-nutrition,hendrycksTest-philosophy,hendrycksTest-prehistory,hendrycksTest-professional_accounting,hendrycksTest-professional_law,hendrycksTest-professional_medicine,hendrycksTest-professional_psychology,hendrycksTest-public_relations,hendrycksTest-security_studies,hendrycksTest-sociology,hendrycksTest-us_foreign_policy,hendrycksTest-virology,hendrycksTest-world_religions,lambada_openai,logiqa,piqa,sciq,winogrande
0,0.2175767918088737,0.257996632996633,0.22,0.17037037037037037,0.17763157894736842,0.29,0.1660377358490566,0.2222222222222222,0.23,0.27,0.15,0.21965317919075145,0.2549019607843137,0.24,0.28085106382978725,0.17543859649122806,0.2,0.26455026455026454,0.2619047619047619,0.27,0.1967741935483871,0.21182266009852216,0.22,0.18787878787878787,0.23232323232323232,0.21243523316062177,0.23333333333333334,0.2518518518518518,0.16806722689075632,0.2052980132450331,0.22201834862385322,0.28703703703703703,0.16666666666666666,0.18143459915611815,0.29596412556053814,0.2900763358778626,0.10743801652892562,0.12962962962962962,0.1901840490797546,0.25892857142857145,0.22330097087378642,0.2692307692307692,0.22,0.25798212005108556,0.23699421965317918,0.23798882681564246,0.1895424836601307,0.22186495176848875,0.2623456790123457,0.24822695035460993,0.23468057366362452,0.22794117647058823,0.22058823529411764,0.2545454545454545,0.3020408163265306,0.2537313432835821,0.24,0.1686746987951807,0.16374269005847952,0.0,0.21658986175115208,0.5174102285092492,0.201,0.4972375690607735
1,0.2175767918088737,0.257996632996633,0.22,0.17037037037037037,0.17763157894736842,0.29,0.1660377358490566,0.2222222222222222,0.23,0.27,0.15,0.21965317919075145,0.2549019607843137,0.24,0.28085106382978725,0.17543859649122806,0.2,0.26455026455026454,0.2619047619047619,0.27,0.1967741935483871,0.21182266009852216,0.22,0.18787878787878787,0.23232323232323232,0.21243523316062177,0.23333333333333334,0.2518518518518518,0.16806722689075632,0.2052980132450331,0.22201834862385322,0.28703703703703703,0.16666666666666666,0.18143459915611815,0.29596412556053814,0.2900763358778626,0.10743801652892562,0.12962962962962962,0.1901840490797546,0.25892857142857145,0.22330097087378642,0.2692307692307692,0.22,0.25798212005108556,0.23699421965317918,0.23798882681564246,0.1895424836601307,0.22186495176848875,0.2623456790123457,0.24822695035460993,0.23468057366362452,0.22794117647058823,0.22058823529411764,0.2545454545454545,0.3020408163265306,0.2537313432835821,0.24,0.1686746987951807,0.16374269005847952,0.0,0.21658986175115208,0.5174102285092492,0.201,0.4972375690607735
2,0.2167235494880546,0.25757575757575757,0.22,0.17777777777777778,0.17763157894736842,0.29,0.16981132075471697,0.2222222222222222,0.23,0.27,0.15,0.21965317919075145,0.2549019607843137,0.24,0.28085106382978725,0.16666666666666666,0.19310344827586207,0.2671957671957672,0.25396825396825395,0.27,0.1967741935483871,0.21182266009852216,0.22,0.18181818181818182,0.23232323232323232,0.21243523316062177,0.23333333333333334,0.2518518518518518,0.16806722689075632,0.2052980132450331,0.22385321100917432,0.28703703703703703,0.16666666666666666,0.18143459915611815,0.29596412556053814,0.2900763358778626,0.10743801652892562,0.12962962962962962,0.1901840490797546,0.25892857142857145,0.22330097087378642,0.27350427350427353,0.22,0.2567049808429119,0.23410404624277456,0.23798882681564246,0.19281045751633988,0.22186495176848875,0.2623456790123457,0.24822695035460993,0.23468057366362452,0.22794117647058823,0.2222222222222222,0.2636363636363636,0.3020408163265306,0.2537313432835821,0.24,0.1686746987951807,0.16374269005847952,0.0,0.21658986175115208,0.5184983677910773,0.2,0.4980268350434096
4,0.2158703071672355,0.2563131313131313,0.22,0.17777777777777778,0.17763157894736842,0.28,0.1660377358490566,0.2222222222222222,0.23,0.26,0.15,0.21965317919075145,0.27450980392156865,0.24,0.2680851063829787,0.16666666666666666,0.20689655172413793,0.2698412698412698,0.25396825396825395,0.26,0.1967741935483871,0.21674876847290642,0.21,0.18181818181818182,0.23232323232323232,0.20207253886010362,0.22564102564102564,0.24444444444444444,0.1638655462184874,0.1986754966887417,0.22752293577981653,0.2916666666666667,0.17647058823529413,0.17721518987341772,0.2914798206278027,0.2900763358778626,0.10743801652892562,0.12037037037037036,0.1901840490797546,0.25,0.22330097087378642,0.26495726495726496,0.22,0.24776500638569604,0.23410404624277456,0.23798882681564246,0.1895424836601307,0.2347266881028939,0.25308641975308643,0.2553191489361702,0.23402868318122555,0.23161764705882354,0.22875816993464052,0.2909090909090909,0.2979591836734694,0.24875621890547264,0.23,0.1686746987951807,0.15789473684210525,0.0,0.22119815668202766,0.5201305767138193,0.208,0.500394632991318
8,0.19965870307167236,0.25757575757575757,0.24,0.2074074074074074,0.17105263157894737,0.25,0.16981132075471697,0.22916666666666666,0.24,0.27,0.11,0.21965317919075145,0.22549019607843138,0.23,0.25957446808510637,0.21052631578947367,0.16551724137931034,0.2566137566137566,0.23809523809523808,0.25,0.2129032258064516,0.2315270935960591,0.21,0.14545454545454545,0.21212121212121213,0.19170984455958548,0.23846153846153847,0.2222222222222222,0.19327731092436976,0.2119205298013245,0.24770642201834864,0.2777777777777778,0.19607843137254902,0.16033755274261605,0.2825112107623318,0.2824427480916031,0.09090909090909091,0.1388888888888889,0.17177914110429449,0.24107142857142858,0.21359223300970873,0.2606837606837607,0.23,0.24521072796934865,0.22254335260115607,0.23798882681564246,0.1895424836601307,0.2572347266881029,0.25308641975308643,0.2624113475177305,0.23468057366362452,0.2610294117647059,0.23366013071895425,0.2818181818181818,0.2979591836734694,0.27860696517412936,0.22,0.1746987951807229,0.15789473684210525,0.0,0.20890937019969277,0.528835690968444,0.214,0.48697711128650356
16,0.20051194539249148,0.2718855218855219,0.16,0.17777777777777778,0.17763157894736842,0.27,0.19622641509433963,0.22916666666666666,0.2,0.26,0.12,0.24277456647398843,0.21568627450980393,0.28,0.2765957446808511,0.20175438596491227,0.18620689655172415,0.2619047619047619,0.2777777777777778,0.27,0.2064516129032258,0.20689655172413793,0.21,0.14545454545454545,0.2222222222222222,0.20725388601036268,0.23076923076923078,0.1962962962962963,0.18067226890756302,0.2582781456953642,0.24036697247706423,0.27314814814814814,0.20098039215686275,0.16455696202531644,0.30493273542600896,0.2900763358778626,0.09090909090909091,0.14814814814814814,0.1656441717791411,0.25,0.22330097087378642,0.2264957264957265,0.22,0.227330779054917,0.2138728323699422,0.23798882681564246,0.1895424836601307,0.2572347266881029,0.25,0.25177304964539005,0.23272490221642764,0.2610294117647059,0.2238562091503268,0.2818181818181818,0.3020408163265306,0.2885572139303483,0.26,0.19879518072289157,0.13450292397660818,0.0,0.20583717357910905,0.514145810663765,0.214,0.48855564325177586
32,0.20136518771331058,0.2689393939393939,0.2,0.21481481481481482,0.15789473684210525,0.32,0.1660377358490566,0.1875,0.26,0.25,0.14,0.23699421965317918,0.19607843137254902,0.24,0.23404255319148937,0.23684210526315788,0.22758620689655173,0.2275132275132275,0.2777777777777778,0.23,0.23548387096774193,0.21674876847290642,0.25,0.15151515151515152,0.23232323232323232,0.19689119170984457,0.23333333333333334,0.18518518518518517,0.21428571428571427,0.2847682119205298,0.22935779816513763,0.24537037037037038,0.19117647058823528,0.14767932489451477,0.31390134529147984,0.2824427480916031,0.08264462809917356,0.1574074074074074,0.17177914110429449,0.3125,0.23300970873786409,0.23931623931623933,0.21,0.2413793103448276,0.20809248554913296,0.23798882681564246,0.21568627450980393,0.24758842443729903,0.23148148148148148,0.25886524822695034,0.2301173402868318,0.25735294117647056,0.23039215686274508,0.2909090909090909,0.3142857142857143,0.2537313432835821,0.23,0.19879518072289157,0.1695906432748538,0.0,0.21658986175115208,0.5114254624591947,0.21,0.49171270718232046
64,0.189419795221843,0.2689393939393939,0.2,0.2,0.20394736842105263,0.32,0.16226415094339622,0.2152777777777778,0.17,0.23,0.16,0.23699421965317918,0.21568627450980393,0.25,0.3021276595744681,0.2543859649122807,0.25517241379310346,0.20105820105820105,0.29365079365079366,0.28,0.24193548387096775,0.21674876847290642,0.23,0.14545454545454545,0.23232323232323232,0.19170984455958548,0.23846153846153847,0.15925925925925927,0.19327731092436976,0.2582781456953642,0.22935779816513763,0.24537037037037038,0.20098039215686275,0.16033755274261605,0.2914798206278027,0.29770992366412213,0.10743801652892562,0.16666666666666666,0.17791411042944785,0.2767857142857143,0.2524271844660194,0.2222222222222222,0.22,0.22860791826309068,0.20520231213872833,0.23798882681564246,0.20915032679738563,0.26366559485530544,0.2345679012345679,0.25177304964539005,0.227509778357236,0.2647058823529412,0.24836601307189543,0.2727272727272727,0.32653061224489793,0.2736318407960199,0.25,0.21686746987951808,0.1695906432748538,0.0,0.1935483870967742,0.5190424374319913,0.205,0.48539857932123126
128,0.19368600682593856,0.2638888888888889,0.21,0.18518518518518517,0.23026315789473684,0.26,0.18867924528301888,0.2152777777777778,0.23,0.23,0.17,0.24277456647398843,0.1568627450980392,0.25,0.2765957446808511,0.23684210526315788,0.2413793103448276,0.20634920634920634,0.2777777777777778,0.23,0.2032258064516129,0.1921182266009852,0.24,0.18181818181818182,0.22727272727272727,0.21243523316062177,0.2153846153846154,0.14074074074074075,0.21008403361344538,0.1986754966887417,0.25137614678899084,0.24537037037037038,0.1715686274509804,0.18143459915611815,0.3004484304932735,0.3282442748091603,0.09917355371900827,0.16666666666666666,0.2147239263803681,0.25892857142857145,0.2621359223300971,0.23076923076923078,0.25,0.24776500638569604,0.23121387283236994,0.23798882681564246,0.17320261437908496,0.2540192926045016,0.25,0.2730496453900709,0.23142112125162972,0.2647058823529412,0.2434640522875817,0.2545454545454545,0.3183673469387755,0.25870646766169153,0.25,0.21686746987951808,0.15204678362573099,0.0,0.18433179723502305,0.5136017410228509,0.197,0.5059194948697711
256,0.19197952218430034,0.257996632996633,0.24,0.17037037037037037,0.21052631578947367,0.28,0.2,0.25,0.21,0.24,0.15,0.23699421965317918,0.18627450980392157,0.23,0.2978723404255319,0.2719298245614035,0.2689655172413793,0.2275132275132275,0.2857142857142857,0.27,0.20967741935483872,0.21182266009852216,0.18,0.15151515151515152,0.21717171717171718,0.23316062176165803,0.21025641025641026,0.15185185185185185,0.17647058823529413,0.18543046357615894,0.25871559633027524,0.23148148148148148,0.2107843137254902,0.17721518987341772,0.30493273542600896,0.3053435114503817,0.09090909090909091,0.16666666666666666,0.1901840490797546,0.25892857142857145,0.2621359223300971,0.23931623931623933,0.26,0.23116219667943805,0.23699421965317918,0.23798882681564246,0.19607843137254902,0.24758842443729903,0.2777777777777778,0.25886524822695034,0.24185136897001303,0.2536764705882353,0.25,0.2909090909090909,0.3224489795918367,0.24378109452736318,0.27,0.23493975903614459,0.14619883040935672,0.0,0.19201228878648233,0.5277475516866159,0.214,0.4861878453038674
