,Abstract Algebra,Anatomy,College Chemistry,Computer Security,Econometrics,Global Facts,Jurisprudence,Philosophy,Professional Medicine,Us Foreign Policy,Astronomy,Business Ethics,Clinical Knowledge,College Biology,College Computer Science,College Mathematics,College Medicine,College Physics,Conceptual Physics,Electrical Engineering,Elementary Mathematics,Formal Logic,High School Biology,High School Chemistry,High School Computer Science,High School European History,High School Geography,High School Government ,High School Macroeconomics,High School Mathematics,High School Microeconomics,High School Physics,High School Psychology,High School Statistics,High School US History,High School World History,Human Aging,Human Sexuality,International Law,Logical Fallacies,Machine Learning,Management,Marketing,Medical Genetics,Moral Disputes,Moral Scenarios,Nutrition,Prehistory,Professional Accounting,Professional Law,Professional Psychology,Public Relations,Security Studies,Sociology,Virology,World Religions
Claude 3.5 Sonnet (20241022),0.78,0.859,0.63,0.87,0.807,0.8,0.898,0.891,0.949,0.96,0.974,0.83,0.928,0.965,0.83,0.66,0.832,0.775,0.906,0.848,0.918,0.786,0.952,0.823,0.93,0.897,0.939,0.984,0.903,0.63,0.958,0.728,0.967,0.852,0.956,0.958,0.861,0.939,0.959,0.914,0.839,0.932,0.953,0.96,0.87,0.888,0.922,0.941,0.84,0.747,0.922,0.8,0.882,0.955,0.584,0.901
Gemini 1.5 Pro (002),0.82,0.83,0.67,0.85,0.693,0.77,0.898,0.887,0.938,0.94,0.934,0.84,0.906,0.965,0.82,0.8,0.844,0.863,0.945,0.855,0.942,0.754,0.958,0.833,0.96,0.885,0.944,0.99,0.913,0.73,0.95,0.834,0.967,0.884,0.926,0.937,0.839,0.878,0.917,0.902,0.83,0.903,0.962,0.92,0.855,0.792,0.886,0.926,0.787,0.708,0.912,0.809,0.857,0.95,0.566,0.889
Claude 3.5 Sonnet (20240620),0.75,0.844,0.59,0.89,0.807,0.72,0.889,0.891,0.945,0.96,0.961,0.85,0.913,0.965,0.84,0.58,0.827,0.696,0.885,0.828,0.892,0.698,0.942,0.813,0.94,0.897,0.949,0.979,0.9,0.633,0.945,0.742,0.96,0.847,0.936,0.954,0.888,0.939,0.959,0.926,0.786,0.942,0.949,0.98,0.887,0.882,0.912,0.951,0.816,0.754,0.922,0.855,0.878,0.96,0.602,0.924
Claude 3 Opus (20240229),0.64,0.8,0.6,0.85,0.789,0.66,0.88,0.9,0.934,0.96,0.967,0.86,0.879,0.972,0.81,0.55,0.832,0.716,0.881,0.814,0.862,0.698,0.935,0.768,0.92,0.885,0.955,0.979,0.872,0.585,0.933,0.709,0.941,0.796,0.941,0.941,0.861,0.908,0.901,0.896,0.741,0.942,0.944,0.93,0.882,0.826,0.925,0.941,0.791,0.715,0.904,0.827,0.886,0.94,0.578,0.901
Llama 3.1 Instruct Turbo (405B),0.7,0.822,0.6,0.81,0.746,0.71,0.87,0.878,0.934,0.94,0.921,0.81,0.879,0.965,0.78,0.66,0.78,0.696,0.877,0.821,0.828,0.698,0.932,0.803,0.95,0.885,0.955,0.984,0.892,0.637,0.954,0.735,0.949,0.838,0.926,0.941,0.843,0.855,0.95,0.92,0.795,0.893,0.962,0.93,0.87,0.876,0.928,0.929,0.727,0.704,0.861,0.818,0.857,0.94,0.572,0.906
GPT-4o (2024-08-06),0.58,0.911,0.6,0.85,0.711,0.69,0.907,0.894,0.96,0.95,0.947,0.89,0.894,0.944,0.79,0.51,0.844,0.686,0.923,0.793,0.775,0.675,0.945,0.793,0.92,0.915,0.955,0.984,0.903,0.481,0.971,0.728,0.954,0.769,0.951,0.941,0.848,0.901,0.942,0.902,0.777,0.913,0.94,0.98,0.87,0.802,0.905,0.935,0.801,0.742,0.899,0.782,0.833,0.945,0.578,0.883
GPT-4o (2024-05-13),0.66,0.911,0.61,0.85,0.693,0.64,0.898,0.9,0.949,0.96,0.941,0.85,0.894,0.938,0.77,0.47,0.838,0.686,0.911,0.807,0.741,0.683,0.948,0.778,0.93,0.903,0.955,0.979,0.91,0.481,0.958,0.735,0.956,0.787,0.956,0.945,0.843,0.908,0.934,0.883,0.768,0.942,0.936,0.96,0.882,0.841,0.899,0.938,0.77,0.723,0.905,0.809,0.837,0.94,0.596,0.889
Qwen2.5 Instruct Turbo (72B),0.68,0.822,0.62,0.86,0.728,0.61,0.87,0.839,0.908,0.96,0.934,0.85,0.872,0.944,0.77,0.64,0.803,0.588,0.885,0.8,0.87,0.73,0.932,0.773,0.94,0.885,0.929,0.99,0.887,0.663,0.945,0.722,0.95,0.796,0.926,0.92,0.816,0.878,0.893,0.89,0.777,0.913,0.953,0.92,0.838,0.787,0.886,0.91,0.702,0.677,0.864,0.782,0.849,0.925,0.584,0.901
Gemini 1.5 Pro (001),0.75,0.83,0.62,0.83,0.728,0.66,0.889,0.871,0.886,0.93,0.914,0.8,0.853,0.903,0.79,0.79,0.792,0.745,0.949,0.745,0.939,0.706,0.926,0.719,0.93,0.867,0.96,0.974,0.89,0.685,0.941,0.762,0.941,0.856,0.922,0.924,0.807,0.374,0.917,0.896,0.652,0.922,0.932,0.91,0.818,0.739,0.879,0.87,0.674,0.666,0.894,0.818,0.873,0.92,0.554,0.854
GPT-4 (0613),0.63,0.8,0.55,0.86,0.684,0.62,0.889,0.859,0.934,0.95,0.934,0.79,0.845,0.924,0.76,0.54,0.763,0.627,0.868,0.786,0.807,0.643,0.948,0.709,0.87,0.879,0.96,0.99,0.872,0.544,0.937,0.596,0.949,0.792,0.946,0.945,0.834,0.908,0.917,0.871,0.759,0.932,0.962,0.94,0.867,0.902,0.892,0.926,0.702,0.727,0.891,0.745,0.861,0.93,0.596,0.877
