name,url,num_parameters
Llama3.2 1B, meta-llama/Llama-3.2-1B-hf, 1
Llama3.2 1B, meta-llama/Llama-3.2-1B-Instruct-hf, 1
Llama3.2 3B, meta-llama/Llama-3.2-3B-hf, 3
SEA-LION 7B,aisingapore/sea-lion-7b,7.0
SEA-LION 7B Instruct,aisingapore/sea-lion-7b-instruct,7.0
Llama2 7B, meta-llama/Llama-2-7b, 7
Llama3.2 3B Instruct, meta-llama/Llama-3.2-3B-Instruct, 3
T0pp (11B),bigscience/t0pp,11.0
BioMistral (7B),biomistral/biomistral-7b,7.3
Dolly V2 (3B),databricks/dolly-v2-3b,2.5
Dolly V2 (7B),databricks/dolly-v2-7b,6.4
Dolly V2 (12B),databricks/dolly-v2-12b,11.3
GPT-J (6B),eleutherai/gpt-j-6b,6.0
Pythia (1B),eleutherai/pythia-1b-v0,0.8
Pythia (2.8B),eleutherai/pythia-2.8b-v0,2.5
Pythia (6.9B),eleutherai/pythia-6.9b,6.4
Pythia (12B),eleutherai/pythia-12b-v0,11.3
Meditron (7B),epfl-llm/meditron-7b,7.0
Gemma (2B),google/gemma-2b,2.0
Gemma Instruct (2B),google/gemma-2b-it,2.0
Gemma (7B),google/gemma-7b,7.0
Gemma Instruct (7B),google/gemma-7b-it,7.0
Gemma 2 (9B),google/gemma-2-9b,9.0
Gemma 2 Instruct (9B),google/gemma-2-9b-it,9.0
Vicuna v1.3 (7B),lmsys/vicuna-7b-v1.3,7.0
Vicuna v1.3 (13B),lmsys/vicuna-13b-v1.3,13.0
Phi-2,microsoft/phi-2,13.0
Phi-3 (7B),microsoft/phi-3-small-8k-instruct,7.0
Phi-3 (14B),microsoft/phi-3-medium-4k-instruct,14.0
Phi-3.5-mini-instruct (3.8B),microsoft/phi-3.5-mini-instruct,3.8
