name,url,num_parameters
Pythia (70m),eleutherai/pythia-70m,0.8
Falcon (7B),tiiuae/falcon-7b,7.0
Gemma (7B),google/gemma-7b,7.0
Gemma 2 Instruct (9B),google/gemma-2-9b-it,9.0
Llama2 7B, meta-llama/Llama-2-7b-hf, 7
Llama2 13B, meta-llama/Llama-2-13b-hf, 13
Llama3 8B, meta-llama/Meta-Llama-3-8B, 8
Llama3.2 1B, meta-llama/Llama-3.2-1B, 1
Llama3.2 1B, meta-llama/Llama-3.2-1B-Instruct, 1
Llama3.2 3B, meta-llama/Llama-3.2-3B, 3
Llama3.2 3B Instruct, meta-llama/Llama-3.2-3B-Instruct, 3
Mistral Instruct v0.3 (7B),mistralai/mistral-7b-instruct-v0.3,7.3
Mistral NeMo (2402), mistralai/Mistral-Nemo-Base-2407, 12
Mistral v0.1 (7B),mistralai/mistral-7b-v0.1,7.3
OLMo (7B),allenai/olmo-7b-hf,7.0
Phi-2,microsoft/phi-2,13.0
Phi-3 (7B),microsoft/phi-3-small-8k-instruct,7.0
Phi-3 (14B),microsoft/phi-3-medium-4k-instruct,14.0
Qwen1.5 (7B),qwen/qwen1.5-7b,7.0
Qwen1.5 (14B),qwen/qwen1.5-14b,14.0
Qwen2.5 Instruct (7B),qwen/qwen2.5-7b-instruct,7.0
SEA-LION 7B,aisingapore/sea-lion-7b,7.0
SEA-LION 7B Instruct,aisingapore/sea-lion-7b-instruct,7.0
T0pp (11B),bigscience/t0pp,11.0
BioMistral (7B),biomistral/biomistral-7b,7.3H
Dolly V2 (3B),databricks/dolly-v2-3b,2.5
Dolly V2 (7B),databricks/dolly-v2-7b,6.4
Dolly V2 (12B),databricks/dolly-v2-12b,11.3
GPT-J (6B),eleutherai/gpt-j-6b,6.0
Pythia (1B),eleutherai/pythia-1b,0.8
Pythia (2.8B),eleutherai/pythia-2.8b,2.5
Pythia (6.9B),eleutherai/pythia-6.9b,6.4
Pythia (12B),eleutherai/pythia-12b,11.3
Meditron (7B),epfl-llm/meditron-7b,7.0
Gemma (2B),google/gemma-2b,2.0
Gemma Instruct (2B),google/gemma-2b-it,2.0
Gemma Instruct (7B),google/gemma-7b-it,7.0
Gemma 2 (2B),google/gemma-2-2b,2.0
Gemma 2 (9B),google/gemma-2-9b,9.0
Vicuna v1.3 (7B),lmsys/vicuna-7b-v1.3,7.0
Vicuna v1.3 (13B),lmsys/vicuna-13b-v1.3,13.0
Phi-3.5-mini-instruct (3.8B),microsoft/phi-3.5-mini-instruct,3.8
Yi (6B),01-ai/yi-6b,6.0
Yi Chat (6B),01-ai/yi-6b-chat,6.0
OLMo (7B Instruct),allenai/olmo-7b-instruct,7.0
OLMo 1.7 (7B),allenai/olmo-1.7-7b,7.0
MPT (7B),mosaicml/mpt-7b,6.7
Nemotron-4 Instruct (340B),nvidia/nemotron-4-340b-instruct,0.4
Qwen,qwen/qwen-7b,7.0
Qwen1.5 Chat (7B),qwen/qwen1.5-7b-chat,7.0
Qwen1.5 Chat (14B),qwen/qwen1.5-14b-chat,14.0
Sailor (7B),sail/sailor-7b,7.0
Sailor Chat (7B),sail/sailor-7b-chat,7.0
Typhoon (7B),scb10x/typhoon-7b,7.0
Typhoon v1.5 (8B),scb10x/typhoon-v1.5-8b,8.0
Typhoon v1.5 Instruct (8B),scb10x/typhoon-v1.5-8b-instruct,8.0
StableLM-Base-Alpha (3B),stabilityai/stablelm-base-alpha-3b,3.0
StableLM-Base-Alpha (7B),stabilityai/stablelm-base-alpha-7b,7.0
Falcon-Instruct (7B),tiiuae/falcon-7b-instruct,7.0
Sabia 7B,maritaca-ai/sabia-7b,6.7
Granite 3.1 - 8B - Base,ibm-granite/granite-3.1-8b-base,8.2
Granite 3.1 - 8B - Instruct,ibm-granite/granite-3.1-8b-instruct,8.2
Granite 3.1 - 2B - Instruct,ibm-granite/granite-3.1-2b-instruct,2.5
Granite 3.1 - 2B - Base,ibm-granite/granite-3.1-2b-base,2.5
DeepSeek-R1-Distill-Llama-8b,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8.0
DeepSeek-Coder-6.7b-Instruct,deepseek-ai/deepseek-coder-6.7b-instruct,6.7
