Model,Model Size (B)
meta-llama/Llama-2-7b-hf,7.0
meta-llama/Llama-2-13b-hf,13.0
meta-llama/Llama-2-70b-hf,70.0
huggyllama/llama-7b,6.7
huggyllama/llama-13b,13.0
huggyllama/llama-30b,32.5
huggyllama/llama-65b,65.2
meta-llama/Meta-Llama-3-70B,70.0
meta-llama/Meta-Llama-3-8B,8.0
meta-llama/Meta-Llama-3.1-405B-FP8,405.0
meta-llama/Meta-Llama-3.1-70B,70.0
meta-llama/Meta-Llama-3.1-8B,8.0
Qwen/Qwen1.5-110B,110.0
Qwen/Qwen1.5-72B,72.0
Qwen/Qwen1.5-32B,32.0
Qwen/Qwen1.5-14B,14.0
Qwen/Qwen1.5-7B,7.0
Qwen/Qwen1.5-4B,4.0
Qwen/Qwen1.5-1.8B,1.8
Qwen/Qwen1.5-0.5B,0.5
Qwen/Qwen-72B,72.0
Qwen/Qwen-14B,14.0
Qwen/Qwen-7B,7.0
Qwen/Qwen2-72B,72.0
Qwen/Qwen2-57B-A14B,24.0
Qwen/Qwen2-7B,7.0
Qwen/Qwen2-1.5B,1.5
Qwen/Qwen2-0.5B,0.5
mistralai/Mistral-7B-v0.1,7.3
mistralai/Mixtral-8x7B-v0.1,45.0
mistralai/Mixtral-8x22B-v0.1,39.0
mistralai/Mistral-Nemo-Base-2407,12.0
deepseek-ai/DeepSeek-V2,21.0
deepseek-ai/DeepSeek-Coder-V2-Base,21.0
01-ai/Yi-6B,6.0
01-ai/Yi-34B,34.0
01-ai/Yi-1.5-34B,34.0
01-ai/Yi-1.5-9B,9.0
01-ai/Yi-1.5-6B,6.0
google/gemma-7b,7.0
google/gemma-2b,2.0
google/gemma-2-27b,27.0
google/gemma-2-9b,9.0
google/gemma-2-2b,2.0
ai21labs/Jamba-v0.1,12.0
tiiuae/falcon-180B,180.0
tiiuae/falcon-40b,40.0
tiiuae/falcon-7b,7.0
tiiuae/falcon-rw-1b,1.0
microsoft/phi-2,2.7
microsoft/phi-1_5,1.3
EleutherAI/pythia-1b-deduped,1.0
EleutherAI/pythia-410m-deduped,0.41
EleutherAI/pythia-6.9b-deduped,6.9
EleutherAI/pythia-2.8b-deduped,2.8
EleutherAI/pythia-12b-deduped,12.0
EleutherAI/pythia-70m-deduped,0.07
EleutherAI/pythia-1.4b-deduped,1.4
EleutherAI/pythia-160m-deduped,0.16
bigscience/bloom-560m,0.56
bigscience/bloom-1b1,1.1
bigscience/bloom-3b,3.0
bigscience/bloom-7b1,7.1
bigscience/bloom,176.0
EleutherAI/gpt-neox-20b,20.0
EleutherAI/gpt-neo-2.7B,2.7
EleutherAI/gpt-neo-1.3B,1.3
EleutherAI/gpt-neo-125m,0.125
EleutherAI/gpt-j-6b,6.05
facebook/opt-6.7b,6.7
facebook/opt-1.3b,1.3
facebook/opt-350m,0.35
facebook/opt-13b,13.0
facebook/opt-2.7b,2.7
facebook/opt-30b,30.0
facebook/opt-125m,0.125
facebook/opt-66b,66.0
mosaicml/mpt-30b,30.0
mosaicml/mpt-7b,7.0
facebook/xglm-564M,0.564
facebook/xglm-1.7B,1.7
facebook/xglm-4.5B,4.5
facebook/xglm-7.5B,7.5
codellama/CodeLlama-7b-hf,7.0
codellama/CodeLlama-13b-hf,13.0
codellama/CodeLlama-34b-hf,34.0
codellama/CodeLlama-70b-hf,70.0
bigcode/starcoderbase-1b,1.0
bigcode/starcoderbase-3b,3.0
bigcode/starcoderbase-7b,7.0
bigcode/starcoderbase,15.5
bigcode/starcoder2-15b,15.0
bigcode/starcoder2-7b,7.0
bigcode/starcoder2-3b,3.0
deepseek-ai/deepseek-coder-1.3b-base,1.3
deepseek-ai/deepseek-coder-6.7b-base,6.7
deepseek-ai/deepseek-coder-33b-base,33.0
01-ai/Yi-6B-200K,6.0
01-ai/Yi-34B-200K,34.0
openlm-research/open_llama_3b_v2,3.0
openlm-research/open_llama_7b_v2,13.0
openlm-research/open_llama_7b,7.0
openlm-research/open_llama_3b,3.0
openlm-research/open_llama_13b,13.0
openai-community/gpt2,0.124
openai-community/gpt2-medium,0.355
openai-community/gpt2-large,0.774
openai-community/gpt2-xl,1.5
internlm/internlm2-20b,20.0
internlm/internlm2-7b,7.0
deepseek-ai/deepseek-llm-67b-base,67.0
deepseek-ai/deepseek-llm-7b-base,7.0
deepseek-ai/deepseek-moe-16b-base,16.0
Deci/DeciLM-7B,7.0
