,anli_r1,anli_r2,anli_r3,arc_easy,cola,drop,gpqa_diamond_cot_n_shot,gpqa_diamond_cot_zeroshot,gpqa_diamond_generative_n_shot,gpqa_diamond_n_shot,gpqa_diamond_zeroshot,gpqa_extended_cot_n_shot,gpqa_extended_cot_zeroshot,gpqa_extended_generative_n_shot,gpqa_extended_n_shot,gpqa_extended_zeroshot,gpqa_main_cot_n_shot,gpqa_main_cot_zeroshot,gpqa_main_generative_n_shot,gpqa_main_n_shot,gpqa_main_zeroshot,gsm8k,hellaswag,lambada_openai,logiqa2,mathqa,mmlu_formal_logic,mmlu_high_school_european_history,mmlu_high_school_us_history,mmlu_high_school_world_history,mmlu_international_law,mmlu_jurisprudence,mmlu_logical_fallacies,mmlu_moral_disputes,mmlu_moral_scenarios,mmlu_philosophy,mmlu_prehistory,mmlu_professional_law,mmlu_world_religions,mmlu_business_ethics,mmlu_clinical_knowledge,mmlu_college_medicine,mmlu_global_facts,mmlu_human_aging,mmlu_management,mmlu_marketing,mmlu_medical_genetics,mmlu_miscellaneous,mmlu_nutrition,mmlu_professional_accounting,mmlu_professional_medicine,mmlu_virology,mmlu_econometrics,mmlu_high_school_geography,mmlu_high_school_government_and_politics,mmlu_high_school_macroeconomics,mmlu_high_school_microeconomics,mmlu_high_school_psychology,mmlu_human_sexuality,mmlu_professional_psychology,mmlu_public_relations,mmlu_security_studies,mmlu_sociology,mmlu_us_foreign_policy,mmlu_abstract_algebra,mmlu_anatomy,mmlu_astronomy,mmlu_college_biology,mmlu_college_chemistry,mmlu_college_computer_science,mmlu_college_mathematics,mmlu_college_physics,mmlu_computer_security,mmlu_conceptual_physics,mmlu_electrical_engineering,mmlu_elementary_mathematics,mmlu_high_school_biology,mmlu_high_school_chemistry,mmlu_high_school_computer_science,mmlu_high_school_mathematics,mmlu_high_school_physics,mmlu_high_school_statistics,mmlu_machine_learning,mnli,mnli_mismatch,mrpc,openbookqa,piqa,qnli,qqp,rte,social_iqa,squadv2,sst2,toxigen,truthfulqa_gen,truthfulqa_mc1,truthfulqa_mc2,winogrande,wnli
databricks/dolly-v2-3b,0.333,0.329,0.3675,0.6439393939393939,0.0414294835654835,0.0274748322147651,0.0151515151515151,0.0,0.0101010101010101,0.303030303030303,0.308080808080808,0.0036630036630036,0.0091575091575091,0.0054945054945054,0.2600732600732601,0.3205128205128205,0.0,0.0111607142857142,0.0022321428571428,0.2232142857142857,0.2544642857142857,0.0227445034116755,0.4967138020314678,0.6270133902581021,0.2461832061068702,0.2515912897822445,0.1825396825396825,0.206060606060606,0.2352941176470588,0.2953586497890295,0.1983471074380165,0.25,0.2576687116564417,0.2803468208092485,0.2659217877094972,0.2057877813504823,0.2407407407407407,0.2653194263363755,0.2748538011695906,0.25,0.230188679245283,0.2138728323699422,0.23,0.273542600896861,0.203883495145631,0.2948717948717949,0.25,0.2835249042145594,0.238562091503268,0.2801418439716312,0.1801470588235294,0.2228915662650602,0.175438596491228,0.207070707070707,0.2124352331606217,0.2282051282051282,0.2394957983193277,0.2495412844036697,0.2061068702290076,0.2712418300653594,0.2545454545454545,0.1918367346938775,0.2388059701492537,0.26,0.2,0.3037037037037037,0.2828947368421052,0.2638888888888889,0.23,0.31,0.28,0.2156862745098039,0.31,0.2808510638297872,0.2758620689655172,0.2486772486772486,0.2193548387096774,0.2118226600985221,0.3,0.2296296296296296,0.2317880794701986,0.162037037037037,0.3482142857142857,0.3503820682628629,0.3611676159479251,0.4289215686274509,0.288,0.73449401523395,0.5460369760205016,0.5313875834776156,0.516245487364621,0.4242579324462641,10.056430556725344,0.7339449541284404,0.4159574468085106,0.3182374541003672,0.2239902080783353,0.3378886684258901,0.5927387529597474,0.5352112676056338
google/gemma-7b-it,0.505,0.443,0.4425,0.7087542087542088,-0.0259419378798827,0.0,0.0101010101010101,0.1515151515151515,0.1616161616161616,0.2676767676767677,0.2525252525252525,0.0476190476190476,0.1245421245421245,0.152014652014652,0.238095238095238,0.315018315018315,0.0334821428571428,0.1495535714285714,0.1517857142857142,0.1919642857142857,0.2857142857142857,0.0,0.5211113324039036,0.0,0.3027989821882951,0.2844221105527638,0.3333333333333333,0.4848484848484848,0.4362745098039216,0.4936708860759494,0.6033057851239669,0.5740740740740741,0.5398773006134969,0.5635838150289018,0.2379888268156424,0.4823151125401929,0.5061728395061729,0.3142112125162972,0.6374269005847953,0.5,0.5283018867924528,0.4508670520231214,0.35,0.6143497757847534,0.6504854368932039,0.7863247863247863,0.57,0.6730523627075351,0.5130718954248366,0.3226950354609929,0.3419117647058823,0.4819277108433735,0.3421052631578947,0.6767676767676768,0.694300518134715,0.4282051282051282,0.4747899159663865,0.6862385321100918,0.5725190839694656,0.4885620915032679,0.5909090909090909,0.5591836734693878,0.6616915422885572,0.59,0.22,0.4592592592592592,0.4539473684210526,0.5208333333333334,0.35,0.37,0.21,0.2549019607843137,0.61,0.451063829787234,0.4482758620689655,0.2195767195767195,0.5612903225806452,0.3743842364532019,0.46,0.2111111111111111,0.2450331125827814,0.2777777777777778,0.4464285714285714,0.5516046867040244,0.5561432058584215,0.6838235294117647,0.32,0.7611534276387377,0.5879553358960278,0.3725204056393767,0.7725631768953068,0.4483111566018424,0.0084224711530363,0.8887614678899083,0.6063829787234043,0.4149326805385557,0.3243574051407589,0.4883214865185932,0.6345698500394633,0.5211267605633803
lmsys/vicuna-13b-v1.3,0.438,0.435,0.4283333333333333,0.7558922558922558,0.0694496124843952,0.011744966442953,0.0,0.0,0.0,0.2878787878787879,0.2727272727272727,0.0,0.0,0.0,0.2875457875457875,0.2802197802197802,0.0,0.0,0.0,0.2991071428571428,0.2790178571428571,0.22289613343442,0.5968930491933878,0.729672035707355,0.3053435114503817,0.3075376884422111,0.3571428571428571,0.696969696969697,0.6862745098039216,0.7130801687763713,0.628099173553719,0.6574074074074074,0.6134969325153374,0.5780346820809249,0.259217877094972,0.5787781350482315,0.5833333333333334,0.4217731421121252,0.7485380116959064,0.53,0.5358490566037736,0.4277456647398844,0.3,0.5605381165919282,0.6893203883495146,0.811965811965812,0.59,0.7049808429118773,0.5849673202614379,0.4326241134751773,0.4816176470588235,0.4759036144578313,0.2543859649122807,0.6565656565656566,0.7046632124352331,0.4461538461538462,0.4915966386554621,0.708256880733945,0.6412213740458015,0.5081699346405228,0.6,0.5714285714285714,0.736318407960199,0.75,0.29,0.4814814814814814,0.5263157894736842,0.5694444444444444,0.37,0.45,0.28,0.2254901960784313,0.64,0.4042553191489361,0.4068965517241379,0.2936507936507936,0.567741935483871,0.3694581280788177,0.51,0.2444444444444444,0.2913907284768212,0.3611111111111111,0.3839285714285714,0.5397860417727968,0.549633848657445,0.7230392156862745,0.362,0.7840043525571273,0.4971627311001281,0.5813504823151125,0.6750902527075813,0.4713408393039918,8.683567758780427,0.8532110091743119,0.4308510638297872,0.5275397796817626,0.3659730722154223,0.5214396797313512,0.7087608524072613,0.5774647887323944
lmsys/vicuna-7b-v1.3,0.365,0.386,0.3991666666666666,0.7428451178451179,0.0996024374398939,0.0082843959731543,0.0,0.0,0.0,0.2171717171717171,0.2121212121212121,0.0,0.0,0.0,0.2527472527472527,0.2509157509157509,0.0,0.0,0.0,0.2299107142857142,0.2433035714285714,0.1319181197877179,0.5635331607249552,0.6992043469823404,0.2900763358778626,0.2783919597989949,0.373015873015873,0.5878787878787879,0.6519607843137255,0.6666666666666666,0.6033057851239669,0.6018518518518519,0.5337423312883436,0.4710982658959537,0.2424581005586592,0.5819935691318328,0.5401234567901234,0.3709256844850065,0.6842105263157895,0.5,0.460377358490566,0.3699421965317919,0.38,0.5695067264573991,0.6407766990291263,0.7307692307692307,0.59,0.6717752234993615,0.5424836601307189,0.3368794326241134,0.4191176470588235,0.4277108433734939,0.2368421052631578,0.5505050505050505,0.6476683937823834,0.4282051282051282,0.4411764705882353,0.6311926605504588,0.5572519083969466,0.468954248366013,0.4727272727272727,0.4897959183673469,0.7064676616915423,0.71,0.27,0.5333333333333333,0.4736842105263157,0.4513888888888889,0.35,0.38,0.35,0.2254901960784313,0.61,0.3531914893617021,0.4206896551724138,0.2645502645502645,0.5032258064516129,0.3004926108374384,0.42,0.2740740740740741,0.2582781456953642,0.3009259259259259,0.3660714285714285,0.5276617422312787,0.540886899918633,0.3480392156862745,0.346,0.7725788900979326,0.5379827933369943,0.6537224833044769,0.6859205776173285,0.4805527123848516,7.21805777815211,0.8211009174311926,0.4074468085106383,0.4528763769889841,0.3194614443084455,0.470059243372675,0.6945540647198106,0.4929577464788732
meta-llama/llama-3.2-3b-instruct,0.482,0.421,0.4616666666666666,0.7264309764309764,0.1477869946023308,0.0005243288590604,0.0,0.0,0.0,0.2323232323232323,0.2626262626262626,0.0,0.0,0.0,0.2472527472527472,0.3021978021978022,0.0,0.0,0.0,0.25,0.2767857142857143,0.2577710386656558,0.5096594303923522,0.00135843198137,0.2958015267175573,0.2539363484087102,0.3968253968253968,0.7272727272727273,0.7254901960784313,0.7679324894514767,0.6859504132231405,0.6574074074074074,0.7239263803680982,0.6040462427745664,0.48268156424581,0.6720257234726688,0.6697530864197531,0.4361147327249022,0.7894736842105263,0.59,0.660377358490566,0.5664739884393064,0.34,0.6278026905829597,0.7572815533980582,0.8376068376068376,0.72,0.7496807151979565,0.6437908496732027,0.4148936170212766,0.7279411764705882,0.4939759036144578,0.4473684210526316,0.7626262626262627,0.7979274611398963,0.5769230769230769,0.6008403361344538,0.8091743119266055,0.6793893129770993,0.5947712418300654,0.6181818181818182,0.6285714285714286,0.7860696517412935,0.81,0.27,0.6222222222222222,0.6513157894736842,0.6736111111111112,0.37,0.34,0.27,0.2745098039215686,0.69,0.4808510638297872,0.503448275862069,0.3809523809523809,0.7258064516129032,0.4778325123152709,0.62,0.2629629629629629,0.3112582781456953,0.375,0.4285714285714285,0.4745797249108507,0.475793327908869,0.321078431372549,0.318,0.7573449401523396,0.5586673988650924,0.6605738313133811,0.6606498194945848,0.4590583418628454,7.656026278109997,0.7305045871559633,0.8393617021276596,0.5067319461444308,0.3451652386780905,0.5114624153530871,0.6337805840568271,0.6338028169014085
mistralai/mistral-nemo-base-2407,0.431,0.437,0.4216666666666667,0.8303872053872053,0.0045673711530046,0.0398489932885906,0.0252525252525252,0.0,0.0,0.2323232323232323,0.3131313131313131,0.0183150183150183,0.0018315018315018,0.0,0.2362637362637362,0.2783882783882784,0.0111607142857142,0.0022321428571428,0.0,0.2165178571428571,0.2901785714285714,0.5572403335860501,0.6293567018522207,0.780710265864545,0.3396946564885496,0.3922948073701842,0.4206349206349206,0.7818181818181819,0.8137254901960784,0.810126582278481,0.7933884297520661,0.8148148148148148,0.7423312883435583,0.7369942196531792,0.2424581005586592,0.7459807073954984,0.7654320987654321,0.5110821382007823,0.8538011695906432,0.59,0.7132075471698113,0.6242774566473989,0.42,0.7219730941704036,0.8058252427184466,0.8717948717948718,0.77,0.8416347381864623,0.7418300653594772,0.5319148936170213,0.7573529411764706,0.5240963855421686,0.4736842105263157,0.797979797979798,0.8756476683937824,0.6512820512820513,0.7100840336134454,0.8348623853211009,0.8091603053435115,0.7124183006535948,0.7090909090909091,0.726530612244898,0.8656716417910447,0.92,0.37,0.6814814814814815,0.743421052631579,0.7569444444444444,0.46,0.52,0.39,0.4215686274509804,0.78,0.5914893617021276,0.6275862068965518,0.4523809523809524,0.7806451612903226,0.5270935960591133,0.69,0.3222222222222222,0.4039735099337748,0.5462962962962963,0.4285714285714285,0.5080998471726949,0.5175956061838893,0.6838235294117647,0.362,0.8133841131664853,0.5451217279882848,0.472792480831066,0.6425992779783394,0.4933469805527123,24.130379853449003,0.7889908256880734,0.4393617021276595,0.4112607099143207,0.3341493268053855,0.4909994938782519,0.728492501973165,0.5633802816901409
mistralai/mistral-7b-instruct-v0.3,0.553,0.509,0.49,0.7933501683501684,0.2673958932579524,0.000104865771812,0.0,0.0,0.0,0.2929292929292929,0.2878787878787879,0.0,0.0,0.0,0.304029304029304,0.2967032967032967,0.0,0.0,0.0,0.3459821428571428,0.2879464285714285,0.3912054586808188,0.6264688309101772,0.4626431205123229,0.3810432569974554,0.3226130653266331,0.4126984126984127,0.7212121212121212,0.7843137254901961,0.7932489451476793,0.743801652892562,0.75,0.7300613496932515,0.6647398843930635,0.329608938547486,0.6913183279742765,0.7067901234567902,0.4400260756192959,0.8070175438596491,0.61,0.7056603773584905,0.6011560693641619,0.35,0.6591928251121076,0.7766990291262136,0.8504273504273504,0.69,0.7931034482758621,0.6830065359477124,0.4716312056737589,0.6948529411764706,0.5060240963855421,0.4298245614035088,0.7474747474747475,0.844559585492228,0.5974358974358974,0.6092436974789915,0.818348623853211,0.732824427480916,0.6094771241830066,0.6363636363636364,0.7020408163265306,0.8308457711442786,0.85,0.32,0.5481481481481482,0.6381578947368421,0.7013888888888888,0.46,0.54,0.29,0.4117647058823529,0.7,0.4808510638297872,0.5655172413793104,0.4074074074074074,0.7419354838709677,0.4778325123152709,0.6,0.3074074074074074,0.2847682119205298,0.4814814814814814,0.5089285714285714,0.5803362200713195,0.5843165174938975,0.7401960784313726,0.348,0.794341675734494,0.6126670327658795,0.7351224338362602,0.779783393501805,0.5015353121801432,4.1270108649877875,0.8635321100917431,0.8372340425531914,0.4981640146878825,0.5018359853121175,0.6636109154356991,0.665351223362273,0.7183098591549296
scb10x/llama-3-typhoon-v1.5-8b-instruct,0.442,0.419,0.3791666666666666,0.8097643097643098,0.1211332549687373,0.0200293624161073,0.0,0.005050505050505,0.0,0.2929292929292929,0.2727272727272727,0.0,0.0036630036630036,0.0,0.2912087912087912,0.3076923076923077,0.0022321428571428,0.0066964285714285,0.0,0.2745535714285714,0.2611607142857143,0.0394238059135708,0.578370842461661,0.0,0.3346055979643766,0.2968174204355109,0.3968253968253968,0.7151515151515152,0.7892156862745098,0.8143459915611815,0.743801652892562,0.7314814814814815,0.803680981595092,0.6907514450867052,0.28268156424581,0.6816720257234726,0.7129629629629629,0.4432855280312907,0.7777777777777778,0.6,0.7509433962264151,0.630057803468208,0.46,0.6905829596412556,0.8155339805825242,0.8803418803418803,0.71,0.8122605363984674,0.7352941176470589,0.4929078014184397,0.6360294117647058,0.4939759036144578,0.4824561403508772,0.797979797979798,0.8808290155440415,0.6230769230769231,0.7016806722689075,0.818348623853211,0.6793893129770993,0.6470588235294118,0.6727272727272727,0.6938775510204082,0.8159203980099502,0.84,0.35,0.6,0.6644736842105263,0.7569444444444444,0.44,0.47,0.32,0.4705882352941176,0.8,0.5276595744680851,0.5379310344827586,0.4365079365079365,0.7709677419354839,0.4729064039408867,0.66,0.362962962962963,0.3642384105960264,0.4768518518518518,0.4732142857142857,0.473458991339786,0.4654190398698128,0.7083333333333334,0.378,0.7986942328618063,0.5010067728354384,0.5191441998515953,0.7833935018050542,0.515353121801433,11.075549566242737,0.8979357798165137,0.75,0.4883720930232558,0.3745410036719706,0.5243856457449354,0.6669297553275454,0.7183098591549296
qwen/qwen1.5-14b-chat,0.568,0.5,0.5441666666666667,0.6961279461279462,0.2757733028139512,0.000104865771812,0.0,0.0,0.0,0.2171717171717171,0.2676767676767677,0.0,0.0,0.0,0.2307692307692307,0.3003663003663003,0.0,0.0,0.0,0.265625,0.2946428571428571,0.1751326762699014,0.5129456283608843,0.0,0.3982188295165394,0.3564489112227805,0.5793650793650794,0.8,0.8284313725490197,0.8481012658227848,0.7851239669421488,0.7314814814814815,0.754601226993865,0.7225433526011561,0.4268156424581005,0.707395498392283,0.7067901234567902,0.4498044328552803,0.8011695906432749,0.74,0.7320754716981132,0.6820809248554913,0.41,0.6905829596412556,0.8058252427184466,0.8846153846153846,0.73,0.8390804597701149,0.7189542483660131,0.5106382978723404,0.7279411764705882,0.4759036144578313,0.543859649122807,0.8181818181818182,0.8808290155440415,0.6974358974358974,0.7521008403361344,0.8385321100917431,0.732824427480916,0.6584967320261438,0.6545454545454545,0.7428571428571429,0.8159203980099502,0.86,0.42,0.6370370370370371,0.7236842105263158,0.7430555555555556,0.46,0.55,0.37,0.4803921568627451,0.79,0.6595744680851063,0.5724137931034483,0.5529100529100529,0.8290322580645161,0.5665024630541872,0.73,0.3555555555555555,0.4437086092715231,0.5787037037037037,0.4464285714285714,0.6838512480896587,0.682160292921074,0.7916666666666666,0.354,0.73449401523395,0.8109097565440234,0.7687360870640614,0.8122743682310469,0.4928352098259979,0.2947864903562705,0.9369266055045872,0.8563829787234043,0.4528763769889841,0.4332925336597307,0.6168715528134874,0.6337805840568271,0.7746478873239436
google/gemma-2-2b,0.345,0.361,0.3766666666666666,0.8021885521885522,-0.0913578918306282,0.0116401006711409,0.0202020202020202,0.0101010101010101,0.0,0.2626262626262626,0.2575757575757575,0.0036630036630036,0.0018315018315018,0.0,0.2747252747252747,0.2417582417582417,0.0089285714285714,0.0,0.0022321428571428,0.2700892857142857,0.2589285714285714,0.2350265352539803,0.5498904600677156,0.6980399767125947,0.2525445292620865,0.3350083752093802,0.373015873015873,0.5878787878787879,0.6029411764705882,0.6075949367088608,0.6198347107438017,0.5555555555555556,0.5460122699386503,0.5375722543352601,0.2424581005586592,0.5562700964630225,0.5864197530864198,0.378748370273794,0.631578947368421,0.48,0.569811320754717,0.5491329479768786,0.31,0.5874439461883408,0.6504854368932039,0.7692307692307693,0.62,0.6296296296296297,0.5751633986928104,0.3829787234042553,0.4852941176470588,0.4879518072289157,0.3245614035087719,0.601010101010101,0.6839378238341969,0.4692307692307692,0.4915966386554621,0.7064220183486238,0.5877862595419847,0.4803921568627451,0.5545454545454546,0.6,0.7064676616915423,0.74,0.3,0.5481481481481482,0.5131578947368421,0.5833333333333334,0.43,0.43,0.32,0.4019607843137255,0.57,0.425531914893617,0.5517241379310345,0.3121693121693121,0.635483870967742,0.3990147783251231,0.41,0.2703703703703703,0.3774834437086092,0.4166666666666667,0.3035714285714285,0.4337238920020377,0.4333807973962571,0.3602941176470588,0.314,0.7867247007616975,0.5575691012264323,0.460252287905021,0.6173285198555957,0.5122824974411464,18.360987113619135,0.6926605504587156,0.4287234042553191,0.2962056303549572,0.241126070991432,0.3622656886658917,0.6874506708760852,0.4225352112676056
