model,anli_r1,anli_r2,anli_r3,arc_easy,cola,drop,gpqa_diamond_cot_n_shot,gpqa_diamond_cot_zeroshot,gpqa_diamond_generative_n_shot,gpqa_diamond_n_shot,gpqa_diamond_zeroshot,gpqa_extended_cot_n_shot,gpqa_extended_cot_zeroshot,gpqa_extended_generative_n_shot,gpqa_extended_n_shot,gpqa_extended_zeroshot,gpqa_main_cot_n_shot,gpqa_main_cot_zeroshot,gpqa_main_generative_n_shot,gpqa_main_n_shot,gpqa_main_zeroshot,gsm8k,hellaswag,lambada_openai,logiqa2,mathqa,mmlu_formal_logic,mmlu_high_school_european_history,mmlu_high_school_us_history,mmlu_high_school_world_history,mmlu_international_law,mmlu_jurisprudence,mmlu_logical_fallacies,mmlu_moral_disputes,mmlu_moral_scenarios,mmlu_philosophy,mmlu_prehistory,mmlu_professional_law,mmlu_world_religions,mmlu_business_ethics,mmlu_clinical_knowledge,mmlu_college_medicine,mmlu_global_facts,mmlu_human_aging,mmlu_management,mmlu_marketing,mmlu_medical_genetics,mmlu_miscellaneous,mmlu_nutrition,mmlu_professional_accounting,mmlu_professional_medicine,mmlu_virology,mmlu_econometrics,mmlu_high_school_geography,mmlu_high_school_government_and_politics,mmlu_high_school_macroeconomics,mmlu_high_school_microeconomics,mmlu_high_school_psychology,mmlu_human_sexuality,mmlu_professional_psychology,mmlu_public_relations,mmlu_security_studies,mmlu_sociology,mmlu_us_foreign_policy,mmlu_abstract_algebra,mmlu_anatomy,mmlu_astronomy,mmlu_college_biology,mmlu_college_chemistry,mmlu_college_computer_science,mmlu_college_mathematics,mmlu_college_physics,mmlu_computer_security,mmlu_conceptual_physics,mmlu_electrical_engineering,mmlu_elementary_mathematics,mmlu_high_school_biology,mmlu_high_school_chemistry,mmlu_high_school_computer_science,mmlu_high_school_mathematics,mmlu_high_school_physics,mmlu_high_school_statistics,mmlu_machine_learning,mnli,mnli_mismatch,mrpc,openbookqa,piqa,qnli,qqp,rte,social_iqa,squadv2,sst2,toxigen,truthfulqa_gen,truthfulqa_mc1,truthfulqa_mc2,winogrande,wnli
google/gemma-2b-it,0.348,0.374,0.3675,0.6464646464646465,-0.04180368478208929,0.0006291946308724832,0.0,0.0,0.0,0.2777777777777778,0.29292929292929293,0.0,0.0,0.0,0.26373626373626374,0.2857142857142857,0.0,0.0,0.0,0.27455357142857145,0.28794642857142855,0.00530705079605762,0.47211710814578767,0.0,0.294529262086514,0.2592964824120603,0.35714285714285715,0.4909090909090909,0.39705882352941174,0.5021097046413502,0.4628099173553719,0.4722222222222222,0.39263803680981596,0.3930635838150289,0.2245810055865922,0.3440514469453376,0.39197530864197533,0.29921773142112124,0.4678362573099415,0.45,0.3849056603773585,0.3583815028901734,0.24,0.4304932735426009,0.39805825242718446,0.5811965811965812,0.41,0.48531289910600256,0.45751633986928103,0.2978723404255319,0.2647058823529412,0.3855421686746988,0.2543859649122807,0.48484848484848486,0.5129533678756477,0.3641025641025641,0.31512605042016806,0.5431192660550459,0.44274809160305345,0.3872549019607843,0.41818181818181815,0.42448979591836733,0.527363184079602,0.53,0.23,0.3925925925925926,0.34210526315789475,0.4513888888888889,0.3,0.36,0.23,0.20588235294117646,0.47,0.3276595744680851,0.43448275862068964,0.23015873015873015,0.4161290322580645,0.270935960591133,0.4,0.21851851851851853,0.2582781456953642,0.19907407407407407,0.39285714285714285,0.5334691798267958,0.5418022782750204,0.3382352941176471,0.304,0.7453754080522307,0.6630056745377998,0.4292604501607717,0.6931407942238267,0.4314227226202661,0.45481344226396025,0.6490825688073395,0.4968085106382979,0.3843329253365973,0.32802937576499386,0.47455150325930145,0.5769534333070244,0.4225352112676056
eleutherai/pythia-6.9b,0.333,0.326,0.33916666666666667,0.6725589225589226,0.018092414584411524,0.001153523489932886,0.015151515151515152,0.0,0.020202020202020204,0.2828282828282828,0.2474747474747475,0.023809523809523808,0.009157509157509158,0.020146520146520148,0.2802197802197802,0.2765567765567766,0.03125,0.017857142857142856,0.033482142857142856,0.25,0.24553571428571427,0.017437452615617893,0.47988448516231824,0.6710653987968174,0.21628498727735368,0.25862646566164155,0.24603174603174602,0.23636363636363636,0.27450980392156865,0.24472573839662448,0.33884297520661155,0.24074074074074073,0.2883435582822086,0.2543352601156069,0.24581005586592178,0.3215434083601286,0.2777777777777778,0.24771838331160365,0.30409356725146197,0.23,0.20754716981132076,0.24277456647398843,0.33,0.2062780269058296,0.2524271844660194,0.26495726495726496,0.23,0.26309067688378035,0.24836601307189543,0.24113475177304963,0.21323529411764705,0.24096385542168675,0.2631578947368421,0.25757575757575757,0.2694300518134715,0.24358974358974358,0.21428571428571427,0.23669724770642203,0.24427480916030533,0.25980392156862747,0.22727272727272727,0.19591836734693877,0.25870646766169153,0.23,0.31,0.34814814814814815,0.3223684210526316,0.2708333333333333,0.18,0.28,0.26,0.23529411764705882,0.24,0.2,0.32413793103448274,0.2619047619047619,0.24193548387096775,0.29064039408866993,0.3,0.26296296296296295,0.271523178807947,0.2824074074074074,0.22321428571428573,0.3748344370860927,0.3746948738812042,0.678921568627451,0.254,0.7551686615886833,0.5185795350539997,0.5888201830324017,0.5956678700361011,0.42067553735926305,9.913248547123725,0.6284403669724771,0.46382978723404256,0.2802937576499388,0.21909424724602203,0.3526291989134793,0.6077348066298343,0.38028169014084506
eleutherai/pythia-1b,0.333,0.325,0.345,0.5702861952861953,0.0,0.0008389261744966443,0.0,0.005050505050505051,0.005050505050505051,0.23232323232323232,0.2727272727272727,0.005494505494505495,0.020146520146520148,0.03296703296703297,0.23809523809523808,0.27106227106227104,0.008928571428571428,0.022321428571428572,0.026785714285714284,0.24107142857142858,0.24553571428571427,0.016679302501895376,0.3778131846245768,0.5620027168639627,0.22582697201017812,0.25125628140703515,0.25396825396825395,0.21212121212121213,0.2549019607843137,0.24050632911392406,0.24793388429752067,0.2962962962962963,0.24539877300613497,0.24566473988439305,0.23798882681564246,0.1864951768488746,0.21604938271604937,0.2288135593220339,0.3216374269005848,0.3,0.21132075471698114,0.19653179190751446,0.19,0.30493273542600896,0.1941747572815534,0.2777777777777778,0.3,0.23627075351213284,0.2222222222222222,0.2553191489361702,0.2426470588235294,0.26506024096385544,0.2543859649122807,0.17676767676767677,0.19689119170984457,0.2076923076923077,0.21428571428571427,0.21100917431192662,0.25190839694656486,0.24673202614379086,0.2,0.18775510204081633,0.23383084577114427,0.29,0.24,0.1925925925925926,0.17763157894736842,0.2638888888888889,0.22,0.25,0.21,0.21568627450980393,0.26,0.26382978723404255,0.23448275862068965,0.2222222222222222,0.1935483870967742,0.15270935960591134,0.27,0.2,0.18543046357615894,0.22685185185185186,0.3392857142857143,0.3451859398879266,0.3496745321399512,0.6838235294117647,0.186,0.7078346028291621,0.4953322350356947,0.36821667078901804,0.5306859205776173,0.3986693961105425,3.3184536342963025,0.4908256880733945,0.41808510638297874,0.3463892288861689,0.23623011015911874,0.4047469679935026,0.5343330702446725,0.43661971830985913
qwen/qwen1.5-14b,0.515,0.479,0.4875,0.7432659932659933,0.44271614168063633,0.00388003355704698,0.0,0.0,0.0,0.23232323232323232,0.31313131313131315,0.0,0.0,0.0,0.22527472527472528,0.32967032967032966,0.0,0.0,0.0,0.25,0.3125,0.6853677028051555,0.6029675363473411,0.7189986415680186,0.4223918575063613,0.41608040201005025,0.5079365079365079,0.8181818181818182,0.8137254901960784,0.8396624472573839,0.8181818181818182,0.7222222222222222,0.7852760736196319,0.7572254335260116,0.31620111731843575,0.684887459807074,0.7129629629629629,0.4804432855280313,0.8187134502923976,0.73,0.7396226415094339,0.6878612716763006,0.47,0.7130044843049327,0.8155339805825242,0.9017094017094017,0.78,0.8365261813537676,0.7581699346405228,0.5070921985815603,0.7279411764705882,0.46987951807228917,0.5526315789473685,0.8333333333333334,0.8601036269430051,0.7076923076923077,0.7394957983193278,0.8385321100917431,0.7633587786259542,0.6764705882352942,0.6727272727272727,0.7673469387755102,0.8208955223880597,0.87,0.42,0.6222222222222222,0.7039473684210527,0.75,0.55,0.53,0.41,0.49019607843137253,0.82,0.6851063829787234,0.6689655172413793,0.6031746031746031,0.8225806451612904,0.6206896551724138,0.73,0.4444444444444444,0.4503311258278146,0.5648148148148148,0.4642857142857143,0.5987773815588385,0.5905207485760781,0.8088235294117647,0.328,0.79379760609358,0.6591616328024895,0.7763294583230275,0.7906137184115524,0.5332650972364381,25.713804430219827,0.9403669724770642,0.5712765957446808,0.1664626682986536,0.35862913096695226,0.5202579333939659,0.7056037884767167,0.704225352112676
meta-llama/meta-llama-3-8b,0.339,0.361,0.3625,0.8009259259259259,-0.03613418271954495,0.022126677852348994,0.0,0.0,0.005050505050505051,0.31313131313131315,0.2676767676767677,0.003663003663003663,0.0,0.0018315018315018315,0.29304029304029305,0.30952380952380953,0.015625,0.0,0.0,0.31473214285714285,0.33482142857142855,0.4988627748294162,0.6015733917546305,0.7554822433533864,0.3155216284987277,0.40603015075376886,0.40476190476190477,0.7454545454545455,0.8088235294117647,0.8270042194092827,0.7851239669421488,0.7314814814814815,0.7177914110429447,0.7052023121387283,0.23798882681564246,0.7106109324758842,0.7253086419753086,0.4595827900912647,0.8070175438596491,0.6,0.7396226415094339,0.6358381502890174,0.28,0.6681614349775785,0.8543689320388349,0.8675213675213675,0.84,0.8148148148148148,0.7352941176470589,0.44680851063829785,0.7058823529411765,0.5421686746987951,0.40350877192982454,0.7676767676767676,0.8497409326424871,0.6205128205128205,0.680672268907563,0.8165137614678899,0.7709923664122137,0.6977124183006536,0.7,0.7510204081632653,0.8407960199004975,0.87,0.32,0.6814814814814815,0.6907894736842105,0.7708333333333334,0.42,0.51,0.43,0.4019607843137255,0.8,0.5319148936170213,0.593103448275862,0.41798941798941797,0.7419354838709677,0.5369458128078818,0.65,0.3925925925925926,0.41721854304635764,0.5138888888888888,0.42857142857142855,0.4782475802343352,0.4906427990235964,0.6568627450980392,0.346,0.7927094668117519,0.49899322716456157,0.4685382141973782,0.6823104693140795,0.4713408393039918,26.017013391729133,0.680045871559633,0.42872340425531913,0.4357405140758874,0.27050183598531213,0.43923321581562275,0.7292817679558011,0.5633802816901409
ibm-granite/granite-3.1-8b-base,0.39,0.397,0.3933333333333333,0.8034511784511784,-0.011438267993578758,0.04656040268456376,0.005050505050505051,0.005050505050505051,0.0,0.24242424242424243,0.32323232323232326,0.01282051282051282,0.014652014652014652,0.0,0.24358974358974358,0.3076923076923077,0.008928571428571428,0.004464285714285714,0.0,0.24776785714285715,0.31919642857142855,0.5943896891584534,0.6144194383588927,0.7570347370463808,0.32061068702290074,0.37420435510887773,0.42063492063492064,0.7212121212121212,0.7647058823529411,0.7679324894514767,0.743801652892562,0.7592592592592593,0.7300613496932515,0.6965317919075145,0.2860335195530726,0.7009646302250804,0.6851851851851852,0.4654498044328553,0.7894736842105263,0.59,0.6792452830188679,0.6647398843930635,0.31,0.6860986547085202,0.8252427184466019,0.8461538461538461,0.69,0.8020434227330779,0.6699346405228758,0.43617021276595747,0.6397058823529411,0.5240963855421686,0.39473684210526316,0.7777777777777778,0.8549222797927462,0.6128205128205129,0.6890756302521008,0.8238532110091743,0.7480916030534351,0.6323529411764706,0.6545454545454545,0.7183673469387755,0.8109452736318408,0.86,0.3,0.5777777777777777,0.743421052631579,0.6736111111111112,0.47,0.52,0.41,0.3431372549019608,0.78,0.5404255319148936,0.5655172413793104,0.455026455026455,0.7612903225806451,0.5024630541871922,0.67,0.3962962962962963,0.3841059602649007,0.49537037037037035,0.5357142857142857,0.5530310748853795,0.5432262001627339,0.6936274509803921,0.332,0.8139281828073993,0.49569833424858134,0.6426168686618847,0.7653429602888087,0.503582395087001,35.03747999663101,0.9369266055045872,0.43936170212765957,0.48592411260709917,0.3659730722154223,0.5132230023226212,0.7434885556432518,0.6056338028169014
ibm-granite/granite-3.1-2b-base,0.357,0.352,0.3908333333333333,0.7685185185185185,0.0020830787503762953,0.03125,0.015151515151515152,0.015151515151515152,0.0,0.23737373737373738,0.2828282828282828,0.009157509157509158,0.014652014652014652,0.0,0.27289377289377287,0.31135531135531136,0.008928571428571428,0.013392857142857142,0.0,0.3080357142857143,0.2611607142857143,0.4746019711902957,0.5678151762597092,0.7116242965262953,0.2697201017811705,0.32093802345058625,0.30952380952380953,0.6606060606060606,0.6225490196078431,0.6582278481012658,0.6115702479338843,0.5740740740740741,0.6380368098159509,0.5491329479768786,0.2659217877094972,0.5627009646302251,0.5401234567901234,0.4230769230769231,0.7192982456140351,0.52,0.5735849056603773,0.5549132947976878,0.33,0.57847533632287,0.6310679611650486,0.7521367521367521,0.6,0.669220945083014,0.5751633986928104,0.3829787234042553,0.4852941176470588,0.4457831325301205,0.34210526315789475,0.6212121212121212,0.6787564766839378,0.5102564102564102,0.4957983193277311,0.6972477064220184,0.6106870229007634,0.4950980392156863,0.5545454545454546,0.5551020408163265,0.6517412935323383,0.79,0.33,0.5037037037037037,0.4868421052631579,0.5625,0.39,0.45,0.36,0.3137254901960784,0.64,0.46808510638297873,0.4689655172413793,0.3386243386243386,0.567741935483871,0.3694581280788177,0.53,0.32222222222222224,0.32450331125827814,0.36574074074074076,0.4107142857142857,0.3714722363728986,0.3778478437754272,0.6813725490196079,0.324,0.7883569096844396,0.5491488193300385,0.41919366806826613,0.6859205776173285,0.5455475946775844,21.662595805609367,0.8944954128440367,0.42446808510638295,0.33659730722154224,0.2607099143206854,0.3902507382614455,0.7182320441988951,0.5492957746478874
sail/sailor-7b,0.372,0.376,0.3983333333333333,0.7386363636363636,-0.017176717556497904,0.018141778523489933,0.0,0.0,0.0,0.23737373737373738,0.2474747474747475,0.0,0.0,0.0,0.2783882783882784,0.2802197802197802,0.002232142857142857,0.0,0.0,0.23214285714285715,0.22991071428571427,0.3464746019711903,0.5485958972316272,0.6972637298660974,0.2862595419847328,0.31423785594639864,0.3492063492063492,0.6121212121212121,0.6568627450980392,0.6455696202531646,0.6611570247933884,0.5555555555555556,0.6257668711656442,0.5317919075144508,0.23575418994413408,0.5755627009646302,0.5833333333333334,0.35984354628422427,0.6783625730994152,0.53,0.569811320754717,0.5028901734104047,0.38,0.5964125560538116,0.6504854368932039,0.8076923076923077,0.67,0.6998722860791826,0.6078431372549019,0.39361702127659576,0.5992647058823529,0.46987951807228917,0.30701754385964913,0.6565656565656566,0.7823834196891192,0.4461538461538462,0.48739495798319327,0.7027522935779816,0.6259541984732825,0.4950980392156863,0.6454545454545455,0.6244897959183674,0.7960199004975125,0.73,0.27,0.4740740740740741,0.5592105263157895,0.5833333333333334,0.43,0.42,0.42,0.28431372549019607,0.7,0.48936170212765956,0.4413793103448276,0.36507936507936506,0.6612903225806451,0.42857142857142855,0.56,0.3,0.3509933774834437,0.4166666666666667,0.41964285714285715,0.46367804381049416,0.46165581773799835,0.6838235294117647,0.32,0.7752992383025027,0.5229727256086399,0.3729408854810784,0.6714801444043321,0.47236438075742065,19.700160026951906,0.8509174311926605,0.42446808510638295,0.4541003671970624,0.2631578947368421,0.40062773546242536,0.6850828729281768,0.5633802816901409
google/gemma-7b-it,0.505,0.443,0.4425,0.7087542087542088,-0.025941937879882745,0.0,0.010101010101010102,0.15151515151515152,0.16161616161616163,0.2676767676767677,0.25252525252525254,0.047619047619047616,0.12454212454212454,0.152014652014652,0.23809523809523808,0.315018315018315,0.033482142857142856,0.14955357142857142,0.15178571428571427,0.19196428571428573,0.2857142857142857,0.0,0.5211113324039036,0.0,0.30279898218829515,0.28442211055276384,0.3333333333333333,0.48484848484848486,0.4362745098039216,0.4936708860759494,0.6033057851239669,0.5740740740740741,0.5398773006134969,0.5635838150289018,0.23798882681564246,0.48231511254019294,0.5061728395061729,0.31421121251629724,0.6374269005847953,0.5,0.5283018867924528,0.4508670520231214,0.35,0.6143497757847534,0.6504854368932039,0.7863247863247863,0.57,0.6730523627075351,0.5130718954248366,0.32269503546099293,0.34191176470588236,0.4819277108433735,0.34210526315789475,0.6767676767676768,0.694300518134715,0.4282051282051282,0.47478991596638653,0.6862385321100918,0.5725190839694656,0.48856209150326796,0.5909090909090909,0.5591836734693878,0.6616915422885572,0.59,0.22,0.45925925925925926,0.45394736842105265,0.5208333333333334,0.35,0.37,0.21,0.2549019607843137,0.61,0.451063829787234,0.4482758620689655,0.21957671957671956,0.5612903225806452,0.37438423645320196,0.46,0.2111111111111111,0.24503311258278146,0.2777777777777778,0.44642857142857145,0.5516046867040244,0.5561432058584215,0.6838235294117647,0.32,0.7611534276387377,0.5879553358960278,0.3725204056393767,0.7725631768953068,0.4483111566018424,0.008422471153036301,0.8887614678899083,0.6063829787234043,0.4149326805385557,0.3243574051407589,0.4883214865185932,0.6345698500394633,0.5211267605633803
deepseek-ai/deepseek-coder-6.7b-instruct,0.35,0.343,0.3375,0.5244107744107744,0.06481676938638016,0.0,0.0,0.0,0.0,0.2676767676767677,0.32323232323232326,0.0,0.0,0.0,0.2454212454212454,0.25457875457875456,0.0,0.0,0.0,0.24107142857142858,0.27232142857142855,0.02047005307050796,0.4001194981079466,0.0,0.2410941475826972,0.2649916247906198,0.25396825396825395,0.3090909090909091,0.27450980392156865,0.27848101265822783,0.4132231404958678,0.26851851851851855,0.3619631901840491,0.30346820809248554,0.2681564245810056,0.33440514469453375,0.3395061728395062,0.27640156453715775,0.28654970760233917,0.34,0.3622641509433962,0.3236994219653179,0.31,0.2825112107623318,0.42718446601941745,0.5555555555555556,0.37,0.4099616858237548,0.3758169934640523,0.2872340425531915,0.41911764705882354,0.3674698795180723,0.24561403508771928,0.3888888888888889,0.3471502590673575,0.2923076923076923,0.31512605042016806,0.3798165137614679,0.4198473282442748,0.3006535947712418,0.4,0.4163265306122449,0.39303482587064675,0.42,0.3,0.35555555555555557,0.3026315789473684,0.2847222222222222,0.31,0.36,0.25,0.21568627450980393,0.5,0.3617021276595745,0.38620689655172413,0.2751322751322751,0.3419354838709677,0.33497536945812806,0.46,0.2037037037037037,0.2781456953642384,0.25925925925925924,0.33035714285714285,0.3611818644931228,0.36126932465419037,0.3161764705882353,0.226,0.6936887921653971,0.4973457807065715,0.6299035369774919,0.47653429602888087,0.3991811668372569,1.1286111345068643,0.698394495412844,0.4319148936170213,0.5177478580171359,0.30354957160342716,0.464487470711834,0.5540647198105761,0.5774647887323944
